[ 2015-03-09T09:43:04+08:00 ] / | ERR: (ThinkException) No such file or directory
[ 2015-03-09T09:48:42+08:00 ] / | SQL: SHOW COLUMNS FROM `r_site` [ RunTime:0.010941s ]
[ 2015-03-09T09:48:42+08:00 ] / | SQL: SELECT * FROM `r_site` WHERE `type` = 1 ORDER BY  id desc  LIMIT 1  [ RunTime:0.000962s ]
[ 2015-03-09T09:48:53+08:00 ] / | SQL: SHOW COLUMNS FROM `r_site` [ RunTime:0.004613s ]
[ 2015-03-09T09:48:53+08:00 ] / | SQL: SELECT * FROM `r_site` WHERE `type` = 1 ORDER BY  id desc  LIMIT 1  [ RunTime:0.000385s ]
[ 2015-03-09T09:49:35+08:00 ] / | SQL: SHOW COLUMNS FROM `r_site` [ RunTime:0.006003s ]
[ 2015-03-09T09:49:35+08:00 ] / | SQL: SELECT * FROM `r_site` WHERE `type` = 1 ORDER BY  id desc  LIMIT 1  [ RunTime:0.000241s ]
[ 2015-03-09T09:49:46+08:00 ] / | SQL: SHOW COLUMNS FROM `r_site` [ RunTime:0.001515s ]
[ 2015-03-09T09:49:46+08:00 ] / | SQL: SELECT * FROM `r_site` WHERE `type` = 1 ORDER BY  id desc  LIMIT 1  [ RunTime:0.000279s ]
[ 2015-03-09T09:50:04+08:00 ] / | SQL: SHOW COLUMNS FROM `r_site` [ RunTime:0.009707s ]
[ 2015-03-09T09:50:04+08:00 ] / | SQL: SELECT * FROM `r_site` WHERE `type` = 1 ORDER BY  id desc  LIMIT 1  [ RunTime:0.000376s ]
[ 2015-03-09T09:51:07+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `r_site` [ RunTime:0.001267s ]
[ 2015-03-09T09:51:07+08:00 ] /index.php | SQL: SELECT * FROM `r_site` WHERE `type` = 1 ORDER BY  id desc  LIMIT 1  [ RunTime:0.000340s ]
[ 2015-03-09T09:52:46+08:00 ] /index.php | SQL: SHOW COLUMNS FROM `r_site` [ RunTime:0.001077s ]
[ 2015-03-09T09:52:46+08:00 ] /index.php | SQL: SELECT * FROM `r_site` WHERE `type` = 1 ORDER BY  id desc  LIMIT 1  [ RunTime:0.000274s ]
