[ 2015-07-17T17:37:09+08:00 ] / | SQL: SHOW COLUMNS FROM `r_site` [ RunTime:0.021286s ]
[ 2015-07-17T17:37:09+08:00 ] / | SQL: SELECT * FROM `r_site` WHERE `type` = 1 ORDER BY  id desc  LIMIT 1  [ RunTime:0.000411s ]
[ 2015-07-17T17:37:09+08:00 ] /?m=Member&a=isLogin | NOTIC: [8] Undefined index: userinfo Action.class.php 第 430 行.
[ 2015-07-17T17:37:09+08:00 ] /?m=Member&a=isLogin | NOTIC: [8] Undefined index: userinfo MemberAction.class.php 第 1780 行.
[ 2015-07-17T17:37:09+08:00 ] /index.php?m=Member&a=loginhm | NOTIC: [8] Undefined index: userinfo Action.class.php 第 430 行.
[ 2015-07-17T17:37:09+08:00 ] /index.php?m=Member&a=loginhm | NOTIC: [8] ob_end_clean(): failed to delete buffer. No buffer to delete MemberAction.class.php 第 330 行.
[ 2015-07-17T17:37:09+08:00 ] /index.php?m=Member&a=loginhm | NOTIC: [8] Undefined index: action %%57^571^57199380%%loginhm.html.php 第 83 行.
[ 2015-07-17T17:37:13+08:00 ] /?m=Member&a=loginhm | NOTIC: [8] Undefined index: userinfo Action.class.php 第 430 行.
[ 2015-07-17T17:37:13+08:00 ] /?m=Member&a=loginhm | NOTIC: [8] ob_end_clean(): failed to delete buffer. No buffer to delete MemberAction.class.php 第 330 行.
[ 2015-07-17T17:37:13+08:00 ] /?m=Member&a=loginhm | NOTIC: [8] Undefined index: action %%57^571^57199380%%loginhm.html.php 第 83 行.
[ 2015-07-17T17:37:15+08:00 ] /?m=Member&a=isLogin | NOTIC: [8] Undefined index: userinfo Action.class.php 第 430 行.
[ 2015-07-17T17:37:15+08:00 ] /?m=Member&a=isLogin | NOTIC: [8] Undefined index: userinfo MemberAction.class.php 第 1780 行.
[ 2015-07-17T17:37:16+08:00 ] /?m=Member&a=reghm | NOTIC: [8] Undefined index: userinfo Action.class.php 第 430 行.
[ 2015-07-17T17:37:16+08:00 ] /?m=Member&a=reghm | NOTIC: [8] Undefined index: tel %%91^913^91342B37%%reghm.html.php 第 104 行.
[ 2015-07-17T17:37:19+08:00 ] /?m=Member&a=isLogin | NOTIC: [8] Undefined index: userinfo Action.class.php 第 430 行.
[ 2015-07-17T17:37:19+08:00 ] /?m=Member&a=isLogin | NOTIC: [8] Undefined index: userinfo MemberAction.class.php 第 1780 行.
[ 2015-07-17T17:37:28+08:00 ] /?m=Member&a=isLogin | NOTIC: [8] Undefined index: userinfo Action.class.php 第 430 行.
[ 2015-07-17T17:37:28+08:00 ] /?m=Member&a=isLogin | NOTIC: [8] Undefined index: userinfo MemberAction.class.php 第 1780 行.
